date,home_team,away_team,winner
1980-03-19,Algeria,Egypt,Algeria
2015-01-23,Iran,Iraq,Iraq
2015-07-04,Zambia,Namibia,Zambia
1988-05-05,Mali,Senegal,Mali
2000-02-19,United States,Colombia,Colombia
1972-05-19,Thailand,Cambodia,Thailand
2019-06-06,South Ossetia,Chameria,South Ossetia
2023-07-12,United States,Panama,Panama
2017-02-01,Burkina Faso,Egypt,Egypt
2007-07-22,Iran,South Korea,South Korea
2001-07-13,Guernsey,Ynys Môn,Guernsey
2017-06-09,Padania,Abkhazia,Padania
1973-08-25,Algeria,Iraq,Algeria
2021-07-02,Peru,Paraguay,Peru
1992-06-22,Netherlands,Denmark,Denmark
2014-06-05,Padania,Abkhazia,Padania
1997-06-22,Ecuador,Mexico,Mexico
1995-07-23,Uruguay,Brazil,Uruguay
1993-01-23,Japan,Switzerland,Switzerland
2001-08-18,Zambia,Angola,Angola
2018-07-07,Russia,Croatia,Croatia
2004-07-30,Uzbekistan,Bahrain,Bahrain
2022-12-06,Morocco,Spain,Morocco
2015-10-13,El Salvador,Guatemala,Guatemala
2003-03-07,Benin,Niger,Benin
2004-12-22,Ethiopia,Kenya,Ethiopia
1999-07-10,Paraguay,Uruguay,Uruguay
1990-12-17,Tanzania,Uganda,Uganda
1972-05-17,Thailand,South Korea,South Korea
2021-07-16,Senegal,Eswatini,Senegal
1982-05-15,Thailand,Singapore,Thailand
2007-05-26,Malawi,South Africa,South Africa
2021-07-06,Italy,Spain,Italy
1984-12-19,Central African Republic,Gabon,Gabon
2005-08-13,South Africa,Zambia,Zambia
1974-11-22,Libya,Tunisia,Tunisia
2004-12-03,Bahrain,Latvia,Bahrain
1991-01-21,Cameroon,Algeria,Cameroon
2019-07-07,Madagascar,DR Congo,Madagascar
